Id,Name,Proposed Analyzer,Existing Analyzer,Title,Description,VS Built-In,Triggered,Suppressed,% Suppressed,Rank,Category,Revised Priority,Original Priority,Port?,Default state,Notes,Dependency
CA2229,ImplementSerializationConstructors,Desktop,Microsoft.AnalyzerPowerPack,Implement serialization constructors,"To fix a violation of this rule, implement the serialization constructor. For a sealed class, make the constructor private; otherwise, make it protected.",Yes,58070,100,0.00172206,2766.426825,Usage,,Low,Ported,,,None
CA2235,MarkAllNonSerializableFields,Desktop,Microsoft.AnalyzerPowerPack,Mark all non-serializable fields,An instance field of a type that is not serializable is declared in a type that is serializable.,Yes,136128,564,0.004143159,1239.138299,Usage,,Low,Ported,,,None
CA2237,MarkISerializableTypesWithSerializable,Desktop,Microsoft.AnalyzerPowerPack,Mark ISerializable types with serializable,"To be recognized by the common language runtime as serializable, types must be marked by using the SerializableAttribute attribute even when the type uses a custom serialization routine through implementation of the ISerializable interface.",Yes,517360,1135,0.00219383,2604.482703,Usage,,Low,Ported,,,None
Async001,#N/A,Microsoft.ApiDesignGuidelines,AsyncPackage,Avoid Async Void,#N/A,,,,,,Usage,,,Ported,,,
Async002,#N/A,Microsoft.ApiDesignGuidelines,AsyncPackage,Async Method Names Should End in Async,#N/A,,,,,,Naming,,,Ported,,,
Async003,#N/A,Microsoft.ApiDesignGuidelines,AsyncPackage,Don't Pass Async Lambdas as Void Returning Delegate Types,#N/A,,,,,,Usage,,,Ported,,,
CA1000,DoNotDeclareStaticMembersOnGenericTypes,Microsoft.ApiDesignGuidelines,#N/A,Do not declare static members on generic types,"When a static member of a generic type is called, the type argument must be specified for the type. When a generic instance member that does not support inference is called, the type argument must be specified for the member. In these two cases, the syntax for specifying the type argument is different and easily confused.",Yes,177899,853,0.004794856,1094.959691,Design,,High,Yes,On,,None
Async004,#N/A,Microsoft.ApiDesignGuidelines,AsyncPackage,Don't Store Async Lambdas as Void Returning Delegate Types,#N/A,,,,,,Usage,,,Ported,,,
CA1002,DoNotExposeGenericLists,Microsoft.ApiDesignGuidelines,#N/A,Do not expose generic lists,"System.Collections.Generic.List&lt;(Of &lt;(T&gt;)&gt;) is a generic collection that is designed for performance, not inheritance. Therefore, List does not contain any virtual members. The generic collections that are designed for inheritance should be exposed instead.",Yes,1720656,18601,0.010810412,576.8229873,Design,,Low,Yes,On,,None
Async005,#N/A,Microsoft.ApiDesignGuidelines,AsyncPackage,Propagate CancellationTokens When Possible,#N/A,,,,,,Library,,,Ported,,,
CA1004,GenericMethodsShouldProvideTypeParameter,Microsoft.ApiDesignGuidelines,#N/A,Generic methods should provide type parameter,"Inference is how the type argument of a generic method is determined by the type of argument that is passed to the method, instead of by the explicit specification of the type argument. To enable inference, the parameter signature of a generic method must include a parameter that is of the same type as the type parameter for the method. In this case, the type argument does not have to be specified. When using inference for all type parameters, the syntax for calling generic and non-generic instance methods is identical; this simplifies the usability of generic methods.",Yes,360357,4493,0.012468191,445.6727399,Design,,Low,Yes,On,,None
CA1005,AvoidExcessiveParametersOnGenericTypes,Microsoft.ApiDesignGuidelines,#N/A,Avoid excessive parameters on generic types,"The more type parameters a generic type contains, the more difficult it is to know and remember what each type parameter represents. It is usually obvious with one type parameter, as in List&lt;T&gt;, and in certain cases that have two type parameters, as in Dictionary&lt;TKey, TValue&gt;. However, if more than two type parameters exist, the difficulty becomes too great for most users.",Yes,67481,367,0.005438568,887.9509468,Design,,Low,Yes,On,,
CA1006,DoNotNestGenericTypesInMemberSignatures,Microsoft.ApiDesignGuidelines,#N/A,Do not nest generic types in member signatures,"A nested type argument is a type argument that is also a generic type. To call a member whose signature contains a nested type argument, the user must instantiate one generic type and pass this type to the constructor of a second generic type. The required procedure and syntax are complex and should be avoided.",Yes,668354,10022,0.014995048,388.4620264,Design,,Low,Yes,On,,None
CA1007,UseGenericsWhereAppropriate,Microsoft.ApiDesignGuidelines,#N/A,Use generics where appropriate,"An externally visible method contains a reference parameter of type System.Object. Use of a generic method enables all types, subject to constraints, to be passed to the method without first casting the type to the reference parameter type.",Yes,78406,297,0.003787975,1292.075256,Design,,Low,Yes,On,,
Async006,#N/A,Microsoft.ApiDesignGuidelines,AsyncPackage,Don't Mix Blocking and Async,#N/A,,,,,,Usage,,,Ported,,,
CA1009,DeclareEventHandlersCorrectly,Microsoft.ApiDesignGuidelines,#N/A,Declare event handlers correctly,"Event handler methods take two parameters. The first is of type System.Object and is named """"sender"""". This is the object that raised the event. The second parameter is of type System.EventArgs and is named """"e"""". This is the data that is associated with the event. Event handler methods should not return a value; in the C# programming language, this is indicated by the return type void.",Yes,358275,1202,0.003354965,1655.521563,Design,,High,No,,CA1003 already does this.,None
CA1010,CollectionsShouldImplementGenericInterface,Microsoft.ApiDesignGuidelines,#N/A,Collections should implement generic interface,"To broaden the usability of a collection, implement one of the generic collection interfaces. Then the collection can be used to populate generic collection types.",Yes,218335,1570,0.007190785,742.4952222,Design,,High,Yes,On,,None
CA1011,ConsiderPassingBaseTypesAsParameters,Microsoft.ApiDesignGuidelines,#N/A,Consider passing base types as parameters,"When a base type is specified as a parameter in a method declaration, any type that is derived from the base type can be passed as the corresponding argument to the method. If the additional functionality that is provided by the derived parameter type is not required, use of the base type enables wider use of the method.",Yes,770430,4590,0.005957712,988.0862414,Design,,High,yes,On,,None
CA1001,TypesThatOwnDisposableFieldsShouldBeDisposable,Microsoft.ApiDesignGuidelines,System.Runtime.Analyzers,Types that own disposable fields should be disposable,"A class declares and implements an instance field that is a System.IDisposable type, and the class does not implement IDisposable. A class that declares an IDisposable field indirectly owns an unmanaged resource and should implement the IDisposable interface.",Yes,1133673,2747,0.002423097,2498.65648,Design,,High,Ported,,,Dataflow
CA1013,OverloadOperatorEqualsOnOverloadingAddAndSubtract,Microsoft.ApiDesignGuidelines,#N/A,Overload operator equals on overloading add and subtract,A public or protected type implements the addition or subtraction operators without implementing the equality operator.,Yes,14271,53,0.003713825,1118.645638,Design,,Low,yes,On,,
